datetime,open,high,low,close,volume,kline_status
2023-04-21,96.09,96.28,96.01,96.21,11587.0,INITIAL
2023-04-24,96.28,96.41,96.26,96.37,4385.0,TREND_UP
2023-04-25,96.4,96.48,96.32,96.4,7308.0,TREND_UP
2023-04-26,96.44,96.51,96.38,96.43,5745.0,TREND_UP
2023-04-28,96.57,96.79,96.55,96.64,4479.0,TREND_UP_(M)
2023-05-04,96.89,97.1,96.89,97.1,4220.0,TREND_UP
2023-05-05,97.16,97.57,97.13,97.45,5865.0,TREND_UP
2023-05-09,97.38,97.38,97.05,97.17,5165.0,TREND_DOWN_(M)
2023-05-10,97.31,97.41,97.25,97.27,6545.0,TREND_UP
2023-05-11,97.51,97.69,97.4,97.45,4683.0,TREND_UP
2023-05-12,97.29,97.41,97.24,97.35,6230.0,TREND_DOWN
2023-05-15,97.26,97.4,97.12,97.23,3779.0,TREND_DOWN
2023-05-16,97.23,97.29,97.09,97.26,3187.0,TREND_DOWN
2023-05-17,97.29,97.35,97.11,97.21,1931.0,TREND_UP
2023-05-18,97.11,97.18,96.97,97.17,2078.0,TREND_DOWN
2023-05-19,96.83,97.0,96.79,96.97,5917.0,TREND_DOWN
2023-05-22,96.97,97.06,96.89,96.96,6401.0,TREND_UP
2023-05-23,97.01,97.24,97.01,97.15,5062.0,TREND_UP
2023-05-24,97.12,97.26,97.07,97.19,4825.0,TREND_UP
2023-05-25,97.16,97.18,96.96,97.04,6307.0,TREND_DOWN
2023-05-26,96.99,97.09,96.74,96.81,6532.0,TREND_DOWN
2023-05-29,96.71,96.99,96.7,96.99,6163.0,TREND_DOWN
2023-05-31,97.06,97.09,96.86,97.06,4583.0,TREND_UP_(M)
2023-06-01,97.13,97.26,97.02,97.19,6550.0,TREND_UP
2023-06-06,97.13,97.13,96.63,97.07,7840.0,TREND_DOWN_(M)
2023-06-08,97.07,97.27,97.07,97.15,7788.0,TREND_UP_(M)
2023-06-09,97.12,97.65,97.12,97.52,11007.0,TREND_UP
2023-06-12,97.56,97.74,97.53,97.62,7456.0,TREND_UP
2023-06-13,97.82,98.21,97.79,98.04,12246.0,TREND_UP
2023-06-14,98.44,98.51,98.18,98.33,12240.0,TREND_UP
2023-06-15,98.18,98.2,97.67,97.76,11949.0,TREND_DOWN
2023-06-16,97.64,97.71,97.13,97.38,16908.0,TREND_DOWN
2023-06-19,97.38,97.42,96.96,97.15,14627.0,TREND_DOWN
2023-06-20,97.22,97.43,97.21,97.36,10992.0,TREND_UP
2023-06-21,97.46,97.59,97.37,97.5,11569.0,TREND_UP
2023-06-26,97.6,97.75,97.55,97.7,11727.0,TREND_UP
2023-06-27,97.6,97.66,97.42,97.56,11122.0,TREND_DOWN
2023-06-28,97.64,97.79,97.6,97.78,10086.0,TREND_UP
2023-06-29,97.68,97.93,97.61,97.82,10206.0,TREND_UP
2023-07-06,97.94,98.13,97.88,97.97,10158.0,TREND_UP_(M)
2023-07-10,98.03,98.29,97.98,98.28,11898.0,TREND_UP_(M)
2023-07-11,98.34,98.5,98.3,98.35,13144.0,TREND_UP
2023-07-12,98.36,98.49,98.27,98.49,13385.0,TREND_DOWN
